id	token	category	category_merged
10	diskorsi	Non-Arabic	Non-Arabic
10	ma'	Arabic	Arabic
10	ħutu	Arabic	Arabic
10	u	Arabic	Arabic
10	ġieli	Arabic	Arabic
10	kellhom	Arabic	Arabic
10	laqgħat	Arabic	Arabic
10	fil-	Arabic	Arabic
10	bord	Non-Arabic	Non-Arabic
10	.	Symbol	Symbol
11	Farrugia	Name (Arabic)	Name
11	semma	Arabic	Arabic
11	kif	Arabic	Arabic
11	huwa	Arabic	Arabic
11	tkellem	Arabic	Arabic
11	ma'	Arabic	Arabic
11	Alfred	Name (Non-Arabic)	Name
11	Mallia	Name (Arabic)	Name
11	li	Arabic	Arabic
11	kien	Arabic	Arabic
11	il-	Arabic	Arabic
11	kap	Non-Arabic	Non-Arabic
11	tal-	Arabic	Arabic
11	Petroleum	Name (Non-Arabic)	Name
11	Division	Name (Non-Arabic)	Name
11	tal-	Arabic	Arabic
11	Enemalta	Name (Non-Arabic)	Name
11	fejn	Arabic	Arabic
11	dan	Arabic	Arabic
11	ried	Arabic	Arabic
11	li	Arabic	Arabic
11	jieħu	Arabic	Arabic
11	parti	Non-Arabic	Non-Arabic
11	mill-	Arabic	Arabic
11	qliegħ	Arabic	Arabic
11	bil-	Arabic	Arabic
11	ftehim	Arabic	Arabic
11	bejn	Arabic	Arabic
11	l-	Arabic	Arabic
11	istess	Non-Arabic	Non-Arabic
11	Enemalta	Name (Non-Arabic)	Name
11	u	Arabic	Arabic
11	t-	Arabic	Arabic
11	Total	Name (Non-Arabic)	Name
11	.	Symbol	Symbol
12	F'	Arabic	Arabic
12	dan	Arabic	Arabic
12	iż-	Arabic	Arabic
12	żmien	Arabic	Arabic
12	tkellimt	Arabic	Arabic
12	ma'	Arabic	Arabic
12	Alfred	Name (Non-Arabic)	Name
12	Mallia	Name (Arabic)	Name
12	li	Arabic	Arabic
12	kien	Arabic	Arabic
12	head	Code-Switching	Code-Switching
12	petroleum	Name (Non-Arabic)	Name
12	u	Arabic	Arabic
12	jieħu	Arabic	Arabic
12	ħsieb	Arabic	Arabic
12	storage	Code-Switching	Code-Switching
12	li	Arabic	Arabic
12	jaqgħu	Arabic	Arabic
12	taħt	Arabic	Arabic
12	dipartiment	Non-Arabic	Non-Arabic
12	tiegħu	Arabic	Arabic
12	,	Symbol	Symbol
12	kellu	Arabic	Arabic
12	klijenti	Non-Arabic	Non-Arabic
12	privati	Non-Arabic	Non-Arabic
12	li	Arabic	Arabic
12	krew	Arabic	Arabic
12	xi	Arabic	Arabic
12	attivita	Non-Arabic	Non-Arabic
12	u	Arabic	Arabic
12	xtaqu	Arabic	Arabic
12	jibdew	Arabic	Arabic
12	jixtru	Arabic	Arabic
12	xogħol	Arabic	Arabic
12	minn	Arabic	Arabic
12	Malta	Name (Arabic)	Name
12	.	Symbol	Symbol
13	Mhux	Arabic	Arabic
13	bħala	Arabic	Arabic
13	uffiċjal	Non-Arabic	Non-Arabic
13	Enemalta	Name (Non-Arabic)	Name
13	.	Symbol	Symbol
14	Qalli	Arabic	Arabic
14	nistaqsi	Arabic	Arabic
14	total	Name (Non-Arabic)	Name
14	ikunux	Arabic	Arabic
14	interessati	Non-Arabic	Non-Arabic
14	jbiegħu	Arabic	Arabic
14	parcels	Code-Switching	Code-Switching
14	lill-	Arabic	Arabic
14	kumpanija	Non-Arabic	Non-Arabic
14	.	Symbol	Symbol
15	Ix-	Arabic	Arabic
15	xhud	Arabic	Arabic
15	qal	Arabic	Arabic
15	li	Arabic	Arabic
15	huwa	Arabic	Arabic
15	qal	Arabic	Arabic
15	lil	Arabic	Arabic
15	Mallia	Name (Arabic)	Name
15	li	Arabic	Arabic
15	kien	Arabic	Arabic
15	se	Arabic	Arabic
15	jkellem	Arabic	Arabic
15	lil	Arabic	Arabic
15	ħutu	Arabic	Arabic
15	dwar	Arabic	Arabic
15	dan	Arabic	Arabic
15	u	Arabic	Arabic
15	fil-	Arabic	Arabic
15	fatt	Non-Arabic	Non-Arabic
15	dawn	Arabic	Arabic
15	qablu	Arabic	Arabic
15	li	Arabic	Arabic
15	seta	Arabic	Arabic
15	jmexxi	Arabic	Arabic
15	bl-	Arabic	Arabic
15	arranġament	Non-Arabic	Non-Arabic
15	ma'	Arabic	Arabic
15	Mallia	Name (Arabic)	Name
15	fejn	Arabic	Arabic
15	il-	Arabic	Arabic
15	ħlas	Arabic	Arabic
15	kien	Arabic	Arabic
15	se	Arabic	Arabic
15	jkun	Arabic	Arabic
15	ta'	Arabic	Arabic
15	12	Symbol	Symbol
15	ċ	Name (Non-Arabic)	Name
15	kull	Arabic	Arabic
15	tunellata	Non-Arabic	Non-Arabic
15	kull	Arabic	Arabic
15	xahar	Arabic	Arabic
15	fuq	Arabic	Arabic
15	il-	Arabic	Arabic
15	ħażna	Arabic	Arabic
15	tat-	Arabic	Arabic
15	Total	Name (Non-Arabic)	Name
15	.	Symbol	Symbol
16	Farrugia	Name (Arabic)	Name
16	semma	Arabic	Arabic
16	kif	Arabic	Arabic
16	huwa	Arabic	Arabic
16	tkellem	Arabic	Arabic
16	ukoll	Arabic	Arabic
16	ma'	Arabic	Arabic
16	Frank	Name (Non-Arabic)	Name
16	Sammut	Name (Arabic)	Name
16	fejn	Arabic	Arabic
16	wara	Arabic	Arabic
16	li	Arabic	Arabic
16	mar	Arabic	Arabic
16	għandu	Arabic	Arabic
16	fl-	Arabic	Arabic
16	uffiċċju	Non-Arabic	Non-Arabic
16	tiegħu	Arabic	Arabic
16	dan	Arabic	Arabic
16	talbu	Arabic	Arabic
16	biex	Arabic	Arabic
16	joħorġu	Arabic	Arabic
16	dawra	Arabic	Arabic
16	bil-	Arabic	Arabic
16	karozza	Non-Arabic	Non-Arabic
16	u	Arabic	Arabic
16	nfurmah	Mixed	Non-Arabic
16	li	Arabic	Arabic
16	kien	Arabic	Arabic
16	lest	Non-Arabic	Non-Arabic
16	jirranġalu	Mixed	Non-Arabic
16	mal-	Arabic	Arabic
16	MOBC	Name (Non-Arabic)	Name
16	jekk	Arabic	Arabic
16	ikun	Arabic	Arabic
16	hemm	Arabic	Arabic
16	xi	Arabic	Arabic
16	ħaġa	Arabic	Arabic
16	għalih	Arabic	Arabic
16	.	Symbol	Symbol
17	Ix-	Arabic	Arabic
17	xhud	Arabic	Arabic
17	qal	Arabic	Arabic
17	li	Arabic	Arabic
17	huwa	Arabic	Arabic
17	offra	Mixed	Non-Arabic
17	lil	Arabic	Arabic
17	Sammut	Name (Arabic)	Name
17	nofs	Arabic	Arabic
17	il-	Arabic	Arabic
17	"	Symbol	Symbol
17	commission	Code-Switching	Code-Switching
17	"	Symbol	Symbol
17	,	Symbol	Symbol
17	li	Arabic	Arabic
17	kienet	Arabic	Arabic
17	ekwivalenti	Non-Arabic	Non-Arabic
17	għal	Arabic	Arabic
17	50	Symbol	Symbol
17	ċ	Name (Non-Arabic)	Name
17	ta'	Arabic	Arabic
17	Dollaru	Name (Non-Arabic)	Name
17	Amerikan	Name (Non-Arabic)	Name
17	fuq	Arabic	Arabic
17	kull	Arabic	Arabic
17	tunellata	Non-Arabic	Non-Arabic
17	,	Symbol	Symbol
17	u	Arabic	Arabic
17	nforma	Mixed	Non-Arabic
17	lil	Arabic	Arabic
17	ħutu	Arabic	Arabic
17	dwar	Arabic	Arabic
17	dan	Arabic	Arabic
17	.	Symbol	Symbol
18	Huwa	Arabic	Arabic
18	qal	Arabic	Arabic
18	li	Arabic	Arabic
18	ħutu	Arabic	Arabic
18	tant	Non-Arabic	Non-Arabic
18	kienu	Arabic	Arabic
18	jaf	Arabic	Arabic
18	b'	Arabic	Arabic
18	dan	Arabic	Arabic
18	li	Arabic	Arabic
18	parti	Non-Arabic	Non-Arabic
18	mill-	Arabic	Arabic
18	pagament	Non-Arabic	Non-Arabic
18	lil	Arabic	Arabic
18	Sammut	Name (Arabic)	Name
18	kien	Arabic	Arabic
18	vettura	Non-Arabic	Non-Arabic
18	tat-	Arabic	Arabic
18	tip	Non-Arabic	Non-Arabic
18	Ssangyon	Name (Non-Arabic)	Name
18	Korando	Name (Non-Arabic)	Name
18	li	Arabic	Arabic
18	kienet	Arabic	Arabic
18	tiġi	Arabic	Arabic
18	impurtata	Mixed	Non-Arabic
18	mill-	Arabic	Arabic
18	kumpanija	Non-Arabic	Non-Arabic
18	tagħhom	Arabic	Arabic
18	JF	Name (Non-Arabic)	Name
18	Motors	Name (Non-Arabic)	Name
18	.	Symbol	Symbol
19	Ix-	Arabic	Arabic
19	xhud	Arabic	Arabic
19	saħaq	Arabic	Arabic
19	li	Arabic	Arabic
19	huwa	Arabic	Arabic
19	ma	Arabic	Arabic
19	kienx	Arabic	Arabic
19	se	Arabic	Arabic
19	jagħti	Arabic	Arabic
19	karozzi	Non-Arabic	Non-Arabic
19	b'	Arabic	Arabic
19	xejn	Arabic	Arabic
19	u	Arabic	Arabic
19	ried	Arabic	Arabic
19	l-	Arabic	Arabic
19	approvazzjoni	Non-Arabic	Non-Arabic
19	ta'	Arabic	Arabic
19	ħutu	Arabic	Arabic
19	u	Arabic	Arabic
19	semma	Arabic	Arabic
19	kif	Arabic	Arabic
19	eventwalment	Non-Arabic	Non-Arabic
19	il-	Arabic	Arabic
19	vettura	Non-Arabic	Non-Arabic
19	kienet	Arabic	Arabic
19	imħallsa	Arabic	Arabic
19	mill-	Arabic	Arabic
19	Power	Name (Non-Arabic)	Name
19	Plan	Name (Non-Arabic)	Name
19	u	Arabic	Arabic
19	reġistrata	Mixed	Non-Arabic
19	fuq	Arabic	Arabic
19	iben	Arabic	Arabic
19	Sammut	Name (Arabic)	Name
19	.	Symbol	Symbol
20	Farrugia	Name (Arabic)	Name
20	żied	Arabic	Arabic
20	li	Arabic	Arabic
20	wara	Arabic	Arabic
20	inċident	Non-Arabic	Non-Arabic
20	li	Arabic	Arabic
20	kien	Arabic	Arabic
20	involut	Non-Arabic	Non-Arabic
20	fih	Arabic	Arabic
20	Mallia	Name (Arabic)	Name
20	mar	Arabic	Arabic
20	jarah	Arabic	Arabic
20	l-	Arabic	Arabic
20	isptar	Non-Arabic	Non-Arabic
20	u	Arabic	Arabic
20	Mallia	Name (Arabic)	Name
20	qallu	Arabic	Arabic
20	biex	Arabic	Arabic
20	ikellem	Arabic	Arabic
20	lil	Arabic	Arabic
20	Tarcisio	Name (Non-Arabic)	Name
20	Mifsud	Name (Arabic)	Name
20	li	Arabic	Arabic
20	kien	Arabic	Arabic
20	il-	Arabic	Arabic
20	Kap	Non-Arabic	Non-Arabic
20	tal-	Arabic	Arabic
20	Finanzi	Non-Arabic	Non-Arabic
20	tal-	Arabic	Arabic
20	Enemalta	Name (Non-Arabic)	Name
20	.	Symbol	Symbol
21	Dan	Arabic	Arabic
21	tal-	Arabic	Arabic
21	aħħar	Arabic	Arabic
21	qallu	Arabic	Arabic
21	biex	Arabic	Arabic
21	dak	Arabic	Arabic
21	li	Arabic	Arabic
21	kien	Arabic	Arabic
21	jagħti	Arabic	Arabic
21	lil	Arabic	Arabic
21	Mallia	Name (Arabic)	Name
21	seta	Arabic	Arabic
21	jagħtih	Arabic	Arabic
21	lilu	Arabic	Arabic
21	u	Arabic	Arabic
21	mbagħad	Arabic	Arabic
21	jieħu	Arabic	Arabic
21	ħsieb	Arabic	Arabic
21	hu	Arabic	Arabic
21	ta'	Arabic	Arabic
21	Mallia	Name (Arabic)	Name
21	.	Symbol	Symbol
22	Ix-	Arabic	Arabic
22	xhud	Arabic	Arabic
22	żied	Arabic	Arabic
22	li	Arabic	Arabic
22	darba	Arabic	Arabic
22	kellmu	Arabic	Arabic
22	l-	Arabic	Arabic
22	accountant	Code-Switching	Code-Switching
22	jew	Arabic	Arabic
22	l-	Arabic	Arabic
22	awditur	Non-Arabic	Non-Arabic
22	tal-	Arabic	Arabic
22	kumpaniji	Non-Arabic	Non-Arabic
22	tagħhom	Arabic	Arabic
22	u	Arabic	Arabic
22	fil-	Arabic	Arabic
22	preżenza	Non-Arabic	Non-Arabic
22	ta'	Arabic	Arabic
22	ħutu	Arabic	Arabic
22	ġibidlu	Arabic	Arabic
22	l-	Arabic	Arabic
22	attenzjoni	Non-Arabic	Non-Arabic
22	li	Arabic	Arabic
22	ma	Arabic	Arabic
22	setgħux	Arabic	Arabic
22	jinħarġu	Arabic	Arabic
22	iktar	Arabic	Arabic
22	pagamenti	Non-Arabic	Non-Arabic
22	mingħajr	Arabic	Arabic
22	"	Symbol	Symbol
22	invoice	Code-Switching	Code-Switching
22	"	Symbol	Symbol
22	.	Symbol	Symbol
23	Farrugia	Name (Arabic)	Name
23	qal	Arabic	Arabic
23	li	Arabic	Arabic
23	fil-	Arabic	Arabic
23	laqgħa	Arabic	Arabic
23	huwa	Arabic	Arabic
23	nforma	Mixed	Non-Arabic
23	lil	Arabic	Arabic
23	ħutu	Arabic	Arabic
23	li	Arabic	Arabic
23	kien	Arabic	Arabic
23	se	Arabic	Arabic
23	jieħu	Arabic	Arabic
23	ħsieb	Arabic	Arabic
23	hu	Arabic	Arabic
23	ta'	Arabic	Arabic
23	dan	Arabic	Arabic
23	u	Arabic	Arabic
23	sar	Arabic	Arabic
23	qbil	Arabic	Arabic
23	li	Arabic	Arabic
23	jżomm	Arabic	Arabic
23	20	Symbol	Symbol
23	%	Symbol	Symbol
23	tad-	Arabic	Arabic
23	dħul	Arabic	Arabic
23	relatat	Non-Arabic	Non-Arabic
23	min-	Arabic	Arabic
23	negozju	Non-Arabic	Non-Arabic
23	taż-	Arabic	Arabic
23	żejt	Arabic	Arabic
23	.	Symbol	Symbol
24	Kien	Arabic	Arabic
24	f'	Arabic	Arabic
24	dan	Arabic	Arabic
24	l-	Arabic	Arabic
24	istadju	Non-Arabic	Non-Arabic
24	li	Arabic	Arabic
24	fetaħ	Arabic	Arabic
24	il-	Arabic	Arabic
24	kumpanija	Non-Arabic	Non-Arabic
24	Aikon	Name (Non-Arabic)	Name
24	u	Arabic	Arabic
24	kellu	Arabic	Arabic
24	kont	Non-Arabic	Non-Arabic
24	bankarju	Non-Arabic	Non-Arabic
24	fl-	Arabic	Arabic
24	Iżvizzera	Name (Non-Arabic)	Name
24	biex	Arabic	Arabic
24	parti	Non-Arabic	Non-Arabic
24	mill-	Arabic	Arabic
24	ħlasijiet	Arabic	Arabic
24	isiru	Arabic	Arabic
24	f'	Arabic	Arabic
24	Malta	Name (Arabic)	Name
24	u	Arabic	Arabic
24	oħrajn	Arabic	Arabic
24	barra	Arabic	Arabic
24	.	Symbol	Symbol
25	Waqt	Arabic	Arabic
25	li	Arabic	Arabic
25	ammetta	Non-Arabic	Non-Arabic
25	li	Arabic	Arabic
25	ma	Arabic	Arabic
25	kienx	Arabic	Arabic
25	trasparenti	Non-Arabic	Non-Arabic
25	ma'	Arabic	Arabic
25	ħutu	Arabic	Arabic
25	,	Symbol	Symbol
25	Farrugia	Name (Arabic)	Name
25	semma	Arabic	Arabic
25	kif	Arabic	Arabic
25	darba	Arabic	Arabic
25	tela	Arabic	Arabic
25	Ġinebra	Name (Non-Arabic)	Name
25	biex	Arabic	Arabic
25	jagħti	Arabic	Arabic
25	$	Symbol	Symbol
25	20,000	Symbol	Symbol
25	lil	Arabic	Arabic
25	Tancred	Name (Non-Arabic)	Name
25	Tabone	Name (Non-Arabic)	Name
25	,	Symbol	Symbol
25	eks-	Non-Arabic	Non-Arabic
25	Ċermen	Non-Arabic	Non-Arabic
25	tal-	Arabic	Arabic
25	Enemalta	Name (Non-Arabic)	Name
25	li	Arabic	Arabic
25	qabel	Arabic	Arabic
25	din	Arabic	Arabic
25	il-	Arabic	Arabic
25	kariga	Non-Arabic	Non-Arabic
25	kien	Arabic	Arabic
25	involut	Non-Arabic	Non-Arabic
25	fl-	Arabic	Arabic
25	MOBC	Name (Non-Arabic)	Name
25	.	Symbol	Symbol
26	Dan	Arabic	Arabic
26	Tabone	Name (Non-Arabic)	Name
26	darba	Arabic	Arabic
26	qallu	Arabic	Arabic
26	li	Arabic	Arabic
26	Allaħares	Arabic	Arabic
26	ikun	Arabic	Arabic
26	jaf	Arabic	Arabic
26	li	Arabic	Arabic
26	kien	Arabic	Arabic
26	qed	Arabic	Arabic
26	jagħti	Arabic	Arabic
26	xi	Arabic	Arabic
26	ħaġa	Arabic	Arabic
26	lil	Arabic	Arabic
26	Tarcisio	Name (Non-Arabic)	Name
26	Mifsud	Name (Arabic)	Name
26	u	Arabic	Arabic
26	ried	Arabic	Arabic
26	anke	Non-Arabic	Non-Arabic
26	s-	Arabic	Arabic
26	sehem	Arabic	Arabic
26	li	Arabic	Arabic
26	kien	Arabic	Arabic
26	qed	Arabic	Arabic
26	jingħata	Arabic	Arabic
26	lil	Arabic	Arabic
26	Frank	Name (Non-Arabic)	Name
26	Sammut	Name (Arabic)	Name
26	.	Symbol	Symbol
27	Farrugia	Name (Arabic)	Name
27	semma	Arabic	Arabic
27	wkoll	Arabic	Arabic
27	kif	Arabic	Arabic
27	il-	Arabic	Arabic
27	Power	Name (Non-Arabic)	Name
27	Plan	Name (Non-Arabic)	Name
27	kienet	Arabic	Arabic
27	kumpanija	Non-Arabic	Non-Arabic
27	profittabbli	Non-Arabic	Non-Arabic
27	u	Arabic	Arabic
27	ħafna	Arabic	Arabic
27	drabi	Arabic	Arabic
27	kienet	Arabic	Arabic
27	issostni	Non-Arabic	Non-Arabic
27	telf	Arabic	Arabic
